image,emotions
0.jpg,0
10000.jpg,3
10001.jpg,3
10002.jpg,0
10003.jpg,6
10004.jpg,4
10005.jpg,3
10006.jpg,4
10007.jpg,5
10008.jpg,4
10009.jpg,5
1000.jpg,6
10010.jpg,2
10011.jpg,5
10012.jpg,2
10013.jpg,5
10014.jpg,6
10015.jpg,2
10016.jpg,0
10017.jpg,6
10018.jpg,1
10019.jpg,3
1001.jpg,4
10020.jpg,4
10021.jpg,6
10022.jpg,1
10024.jpg,6
10025.jpg,2
10027.jpg,6
10028.jpg,4
1002.jpg,6
10030.jpg,6
10031.jpg,4
10032.jpg,2
10033.jpg,6
10034.jpg,4
10035.jpg,3
10036.jpg,6
10038.jpg,0
10039.jpg,3
1003.jpg,4
10040.jpg,2
10041.jpg,6
10042.jpg,3
10043.jpg,2
10044.jpg,2
10046.jpg,3
10047.jpg,2
10049.jpg,4
1004.jpg,3
10050.jpg,3
10051.jpg,6
10052.jpg,0
10053.jpg,1
10054.jpg,6
10055.jpg,2
10056.jpg,5
10057.jpg,0
10058.jpg,6
10059.jpg,4
10060.jpg,3
10061.jpg,5
10062.jpg,6
10063.jpg,0
10064.jpg,4
10065.jpg,0
10066.jpg,3
10067.jpg,2
10068.jpg,6
10069.jpg,0
1006.jpg,3
10070.jpg,4
10071.jpg,3
10073.jpg,4
10074.jpg,3
10075.jpg,2
10076.jpg,5
10077.jpg,6
10078.jpg,4
10079.jpg,0
1007.jpg,4
10080.jpg,5
10082.jpg,5
10083.jpg,3
10084.jpg,6
10085.jpg,6
10086.jpg,2
10087.jpg,5
10089.jpg,4
1008.jpg,2
10091.jpg,6
10092.jpg,3
10093.jpg,6
10094.jpg,3
10095.jpg,0
10096.jpg,3
10097.jpg,5
10098.jpg,3
10099.jpg,2
1009.jpg,4
100.jpg,3
10100.jpg,0
10101.jpg,6
10103.jpg,4
10104.jpg,3
10105.jpg,0
10106.jpg,3
10107.jpg,2
10108.jpg,4
10109.jpg,6
1010.jpg,4
10110.jpg,6
10111.jpg,3
10112.jpg,1
10113.jpg,6
10114.jpg,4
10115.jpg,0
10116.jpg,4
10117.jpg,6
10119.jpg,6
1011.jpg,4
10120.jpg,3
10121.jpg,0
10122.jpg,0
10123.jpg,2
10124.jpg,3
10125.jpg,2
10127.jpg,4
10128.jpg,4
10129.jpg,6
1012.jpg,3
10130.jpg,6
10131.jpg,2
10132.jpg,4
10133.jpg,4
10134.jpg,6
10135.jpg,3
10136.jpg,6
10137.jpg,1
10138.jpg,3
10139.jpg,3
1013.jpg,2
10140.jpg,3
10141.jpg,3
10142.jpg,0
10143.jpg,6
10144.jpg,5
10145.jpg,3
10146.jpg,3
10147.jpg,2
10148.jpg,0
1014.jpg,3
10150.jpg,6
10151.jpg,3
10152.jpg,2
10153.jpg,3
10154.jpg,0
10155.jpg,0
10157.jpg,3
10158.jpg,0
10159.jpg,3
10160.jpg,3
10161.jpg,3
10162.jpg,5
10163.jpg,0
10164.jpg,4
10166.jpg,3
10167.jpg,0
10168.jpg,3
10169.jpg,2
1016.jpg,0
10170.jpg,2
10171.jpg,4
10172.jpg,4
10173.jpg,6
10174.jpg,6
10175.jpg,6
10176.jpg,4
10177.jpg,6
10178.jpg,0
10179.jpg,4
1017.jpg,3
10180.jpg,6
10181.jpg,0
10182.jpg,3
10183.jpg,2
10184.jpg,5
10185.jpg,5
10186.jpg,3
10187.jpg,3
10189.jpg,2
1018.jpg,0
10190.jpg,6
10191.jpg,2
10192.jpg,0
10194.jpg,3
10195.jpg,6
10196.jpg,0
10197.jpg,6
10198.jpg,3
10199.jpg,3
1019.jpg,4
101.jpg,2
10200.jpg,6
10201.jpg,2
10202.jpg,0
10203.jpg,3
10204.jpg,6
10205.jpg,2
10206.jpg,6
10207.jpg,0
10208.jpg,2
10209.jpg,2
10210.jpg,2
10212.jpg,2
10213.jpg,5
